episode,timestamp,total_reward,portfolio_value,total_return_pct,n_trades,total_cost,steps
1,2026-03-13T13:53:39.669540,-0.000972,944945384.04,-5.5055,3200,140302429.96,200
2,2026-03-13T13:53:39.671938,-0.000408,1209871407.61,20.9871,3200,169961591.39,200
3,2026-03-13T13:53:39.672842,-0.001217,941837742.03,-5.8162,3200,145966964.97,200
4,2026-03-13T13:53:39.674413,-0.000385,1398164569.58,39.8165,3200,176102719.42,200
5,2026-03-13T13:53:39.675814,-0.00102,889583584.83,-11.0416,3200,142522701.17,200
6,2026-03-13T13:53:39.676457,-0.001005,796728873.41,-20.3271,3200,142909862.59,200
7,2026-03-13T13:53:39.677522,-0.000857,846257893.35,-15.3742,3200,142575156.65,200
8,2026-03-13T13:53:39.678176,-0.000888,774496225.2,-22.5504,3199,150038538.8,200
9,2026-03-13T13:53:39.679210,-0.000923,927636251.91,-7.2364,3200,142051659.09,200
10,2026-03-13T13:53:39.680893,-0.000149,1191138193.31,19.1138,3200,167778839.69,200
11,2026-03-13T13:54:04.952359,-0.000612,1049449005.34,4.9449,3199,144288037.66,200
12,2026-03-13T13:54:04.953236,-0.000417,1141223372.72,14.1223,3200,168304519.28,200
13,2026-03-13T13:54:04.954012,-0.001452,988030173.28,-1.197,3200,164570238.72,200
14,2026-03-13T13:54:04.954741,-0.001109,771277836.09,-22.8722,3200,137189153.91,200
15,2026-03-13T13:54:04.955253,-0.000415,1204734001.41,20.4734,3200,171048494.59,200
16,2026-03-13T13:54:04.955753,-0.000909,904854640.39,-9.5145,3200,144451341.61,200
17,2026-03-13T13:54:04.956335,-0.00087,1045871202.68,4.5871,3200,189663489.32,200
18,2026-03-13T13:54:04.956961,-0.000161,1124979774.62,12.498,3200,166078734.38,200
19,2026-03-13T13:54:04.957478,-0.000157,1532590082.48,53.259,3200,174027086.52,200
20,2026-03-13T13:54:04.957982,-0.000211,1541234339.32,54.1234,3200,190389602.68,200
21,2026-03-13T13:54:36.120630,-0.00026,962694749.16,-3.7305,3200,147298576.84,200
22,2026-03-13T13:54:36.121492,-0.002431,655407777.03,-34.4592,3200,117003344.97,200
23,2026-03-13T13:54:36.122116,-0.000164,1270362897.15,27.0363,3199,161157607.85,200
24,2026-03-13T13:54:36.122675,-0.000162,1389594058.7,38.9594,3200,167160068.3,200
25,2026-03-13T13:54:36.123219,-0.000165,1309779613.28,30.978,3200,171215425.72,200
26,2026-03-13T13:54:36.123886,-0.000534,923501168.89,-7.6499,3200,145718165.11,200
27,2026-03-13T13:54:36.124428,-0.000151,1449109504.39,44.911,3200,180380570.61,200
28,2026-03-13T13:54:36.124990,-0.000235,1077948143.09,7.7948,3199,155413499.91,200
29,2026-03-13T13:54:36.125558,-0.000606,883538007.29,-11.6462,3199,142959345.71,200
30,2026-03-13T13:54:36.126072,-0.000492,920007974.03,-7.9992,3200,151352855.97,200
31,2026-03-13T13:54:58.750804,-0.000513,859840259.93,-14.016,3200,138571107.07,200
32,2026-03-13T13:54:58.751634,-0.000446,1242609016.73,24.2609,3200,182835128.27,200
33,2026-03-13T13:54:58.752231,-0.001119,1061144150.36,6.1144,3200,148740434.64,200
34,2026-03-13T13:54:58.752901,-0.002048,800082514.63,-19.9917,3198,134912826.37,200
35,2026-03-13T13:54:58.753525,-0.000892,1130629071.51,13.0629,3200,142597645.49,200
36,2026-03-13T13:54:58.754070,-0.001563,881928810.41,-11.8071,3200,150715262.59,200
37,2026-03-13T13:54:58.754586,-0.000196,1545210413.03,54.521,3200,199172649.97,200
38,2026-03-13T13:54:58.755113,-0.00042,1216379930.78,21.638,3200,174487496.22,200
39,2026-03-13T13:54:58.755682,-0.000897,784166384.6,-21.5834,3200,143170777.4,200
40,2026-03-13T13:54:58.756206,-0.001228,818810389.48,-18.119,3200,139138309.52,200
41,2026-03-13T13:55:20.521935,-3.6e-05,973089101.48,-2.6911,3200,150266572.52,200
42,2026-03-13T13:55:20.522684,-0.000501,1067978116.82,6.7978,3200,147649273.18,200
43,2026-03-13T13:55:20.523228,-0.002286,663920331.32,-33.608,3200,122568766.68,200
44,2026-03-13T13:55:20.523693,-0.000137,1480658288.95,48.0658,3200,178870049.05,200
45,2026-03-13T13:55:20.524142,-0.000393,1317114099.01,31.7114,3199,201590657.99,200
46,2026-03-13T13:55:20.525022,-0.000766,913756147.77,-8.6244,3200,149170022.23,200
47,2026-03-13T13:55:20.525605,-0.000611,810877021.9,-18.9123,3200,155995568.1,200
48,2026-03-13T13:55:20.526099,-0.00115,860419422.17,-13.9581,3200,138735744.83,200
49,2026-03-13T13:55:20.526690,-0.000654,1038922167.22,3.8922,3200,162485720.78,200
50,2026-03-13T13:55:20.527177,-0.000864,686598479.4,-31.3402,3200,144412218.6,200
51,2026-03-13T13:55:20.527691,-0.000189,1100062999.29,10.0063,3200,159722559.71,200
52,2026-03-13T13:55:36.743023,-0.001113,846301215.87,-15.3699,3200,137332783.13,200
53,2026-03-13T13:55:36.743877,-0.000923,1118880906.34,11.8881,3199,187690641.66,200
54,2026-03-13T13:55:36.744465,-0.000737,956342423.11,-4.3658,3200,153603273.89,200
55,2026-03-13T13:55:36.745038,-0.001651,803400918.94,-19.6599,3200,132607917.06,200
56,2026-03-13T13:55:36.745620,-0.000996,918129735.61,-8.187,3200,138321590.39,200
57,2026-03-13T13:55:36.746194,-0.000212,1629808414.03,62.9808,3200,199992397.97,200
58,2026-03-13T13:55:36.746768,-0.000554,1011866394.99,1.1866,3200,156821453.01,200
59,2026-03-13T13:55:36.747282,-0.000142,1220576519.28,22.0577,3200,173227233.72,200
60,2026-03-13T13:55:36.747929,-0.001296,909473844.84,-9.0526,3200,152491290.16,200
61,2026-03-13T13:55:36.748486,-0.000432,1254837138.35,25.4837,3200,192356272.65,200
62,2026-03-13T13:55:54.420543,-0.000747,904872674.13,-9.5127,3200,137176245.87,200
63,2026-03-13T13:55:54.428318,-0.000854,838530886.2,-16.1469,3200,145773736.8,200
64,2026-03-13T13:55:54.428919,-0.000581,1120908270.5,12.0908,3200,169068775.5,200
65,2026-03-13T13:55:54.430723,-0.000339,1175542899.37,17.5543,3200,185057426.63,200
66,2026-03-13T13:55:54.431864,-0.000859,1023269495.85,2.3269,3200,155816804.15,200
67,2026-03-13T13:55:54.433866,-0.000859,802013935.32,-19.7986,3199,142190725.68,200
68,2026-03-13T13:55:54.435352,-0.001365,824803360.94,-17.5197,3200,134632210.06,200
69,2026-03-13T13:55:54.447048,-0.001086,882526963.4,-11.7473,3200,144836860.6,200
70,2026-03-13T13:55:54.447883,-0.000579,886964775.56,-11.3035,3200,150994459.44,200
71,2026-03-13T13:55:54.453144,-0.000678,970308759.13,-2.9691,3200,140791288.87,200
72,2026-03-13T13:56:20.825924,-0.000659,844653706.66,-15.5346,3200,139631158.34,200
73,2026-03-13T13:56:20.827466,-0.000943,862454462.26,-13.7546,3199,142249630.74,200
74,2026-03-13T13:56:20.828108,-0.000883,884689536.92,-11.531,3200,144677680.08,200
75,2026-03-13T13:56:20.833876,-0.001781,807007275.5,-19.2993,3199,132584997.5,200
76,2026-03-13T13:56:20.844193,-0.00127,850830627.54,-14.9169,3200,138338681.46,200
77,2026-03-13T13:56:20.844922,-0.000295,1434074009.58,43.4074,3200,175375911.42,200
78,2026-03-13T13:56:20.845553,-0.000697,1071937733.38,7.1938,3200,164677472.62,200
79,2026-03-13T13:56:20.846111,-0.001221,897609129.7,-10.2391,3199,150423560.3,200
80,2026-03-13T13:56:20.846583,-0.001553,828999895.69,-17.1,3199,135390168.31,200
81,2026-03-13T13:56:20.847156,-0.000175,1229624254.5,22.9624,3200,165206108.5,200
82,2026-03-13T13:56:51.268529,-0.000138,836399476.55,-16.3601,3200,139662534.45,200
83,2026-03-13T13:56:51.269307,-0.000616,920524864.02,-7.9475,3200,149441324.98,200
84,2026-03-13T13:56:51.269916,-0.000315,1352447741.54,35.2448,3200,181510204.46,200
85,2026-03-13T13:56:51.270466,-0.000881,1077308196.14,7.7308,3200,146352026.86,200
86,2026-03-13T13:56:51.270984,-0.000832,876920998.89,-12.3079,3200,139129280.11,200
87,2026-03-13T13:56:51.271477,-0.000568,1102648204.83,10.2648,3200,167933137.17,200
88,2026-03-13T13:56:51.271979,-0.000239,1573239261.12,57.3239,3200,195131771.88,200
89,2026-03-13T13:56:51.272631,-0.000884,881206004.14,-11.8794,3200,148992771.86,200
90,2026-03-13T13:56:51.273190,-0.001049,826534765.05,-17.3465,3200,140348832.95,200
91,2026-03-13T13:56:51.273732,-0.00016,1558827812.68,55.8828,3200,176841888.32,200
92,2026-03-13T13:56:51.274314,-0.000553,1122686878.76,12.2687,3200,159351399.24,200
93,2026-03-13T13:57:18.888384,-0.000998,850810799.24,-14.9189,3199,142580808.77,200
94,2026-03-13T13:57:18.889074,-0.000912,876803912.77,-12.3196,3200,148070332.23,200
95,2026-03-13T13:57:18.889687,-0.000934,816775428.93,-18.3225,3200,141932098.07,200
96,2026-03-13T13:57:18.890423,-0.000486,987097575.93,-1.2902,3200,154313380.07,200
97,2026-03-13T13:57:18.891257,-0.000718,1002166992.88,0.2167,3200,154496496.12,200
98,2026-03-13T13:57:18.891855,-0.000783,1105913909.98,10.5914,3200,150496484.02,200
99,2026-03-13T13:57:18.892322,-0.000748,956314159.6,-4.3686,3200,151919098.4,200
100,2026-03-13T13:57:18.892719,-0.000165,1177474866.39,17.7475,3200,172779947.61,200
101,2026-03-13T13:57:18.893185,-0.000698,964540839.72,-3.5459,3200,152780078.28,200
102,2026-03-13T13:57:18.893631,-0.000217,1096823299.28,9.6823,3200,161921782.72,200
103,2026-03-13T13:57:53.445130,-0.001114,792707281.2,-20.7293,3200,142965324.8,200
104,2026-03-13T13:57:53.445941,-0.001241,886009592.03,-11.399,3200,154598862.97,200
105,2026-03-13T13:57:53.446760,-0.001352,844813286.03,-15.5187,3199,139977255.97,200
106,2026-03-13T13:57:53.447490,-0.000886,1084212326.22,8.4212,3200,142241349.78,200
107,2026-03-13T13:57:53.448262,-0.001229,835778955.03,-16.4221,3200,137749023.97,200
108,2026-03-13T13:57:53.448931,-0.00077,906434322.44,-9.3566,3200,139570666.56,200
109,2026-03-13T13:57:53.449524,-0.000224,1495506535.1,49.5507,3200,192017172.9,200
110,2026-03-13T13:57:53.450201,-0.000831,800603575.04,-19.9396,3200,146543397.96,200
111,2026-03-13T13:57:53.450856,-0.000349,1547936583.72,54.7937,3200,186486321.28,200
112,2026-03-13T13:57:53.451409,-0.000887,891227714.96,-10.8772,3199,147383102.04,200
